T IH N,T AH N,116
T IH N,T EH N,1
N G,N D G,119
DH IH S,DH AH S,2
S D AY,S T AY,1
AY V S,AY L S,1
R D AA R K,R AH T AE K,1
R D AA R K,R T AH K,1
UW T IH,UW IH,1
K D IH,K HH IH,1
IH S T EY,IH Z F EY,1
S T,S,2
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
N DH AH S,N S,2
N D IH,N IH NG IH,4
R W AO,R B AO,1
Y UW N Y AH N,Y IH R,1
 HH IY, IY,1
 HH IY, W IY,1
V AA N,V IH N,1
B AH F,B OW TH,1
 DH AH, AH,3
W ER M,W AO R M,1
M AA N DH AH HH UH,M ER K UH,1
M JH EH N,M CH AE N,1
N ER AH,N AH,1
N ER AH,N T AH,1
S AH B T,S T,1
T EY,T UW P EY,1
N P,N T P,1
N P,N D P,4
UW L IY,UW W IY,1
UW L IY,UW B IY,1
T AH D W,T IH NG W,1
N V ER S AH Z,N F AO R,1
UW DH D,UW D,3
T S,T,4
D Y AO R D,D AH D,3
D Y AO R D,D T UW D,1
D Y AO R D,D D,2
ER Z B,ER B,1
AH B IH,AH P IH,1
D L,D AH L,1
L IY AE M B,L Z EY B,1
L D TH R UW,L T UW,1
W EH L,W IH L,3
 DH AH B, B,2
R W,R AH W,4
L D DH,L DH,4
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
S AH,S DH AH,2
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
 B R, R,1
OY L,OY AH L,1
L AH G L,L AE Z W EH L,1
L OW,L,1
 IH F K, K,1
 IH F K, DH AH K,2
V HH ER ER,V ER,3
V HH ER ER,V AO R ER,1
JH F,JH D F,1
NG AE T,NG IH T,6
 HH IH Z SH, DH AH SH,3
K M,K HH IH M,1
M IY T,M T,1
IY AE N,IY IH T AA N,2
IY AE N,IY AH N,4
IY AE N,IY IH N,3
IY AE N,IY AA N,4
IY AE N,IY AY D AA N,1
IY AE N,IY AH D OW N,1
N OY L IY R,N AH R,1
N OY L IY R,N IH N IH R,1
N OY L IY R,N DH AH R,1
K HH IY AH,K Y UW AH,1
AW D F,AW F,1
R AE Z M,R M,1
IY T UW R,IY R,1
N G R,N R,1
N G R,N K R,3
R IH L,R IY L,1
S IH R K,S ER K,1
T S AH,T AH,1
T EH K S T R AH,T AH V DH AH,1
 B IH F, F,2
M R IY V Y,M Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,2
 JH AA N K, CH AO K,1
 JH AA N K, CH AE D K,1
L IY N Z SH,L AH T SH,1
L IY N Z SH,L EY M D SH,1
 SH IY HH AE, Y AE,1
AE D Y AO R D,AE DH AH D,1
AE D Y AO R D,AE Z AH D,5
T IH,T W IH,1
T IH,T HH IH,1
T IH,T S IH,1
IH N G R,IH L R,1
R IY S,R AH S,2
R IY S,R EY S,2
IY W,IY V W,1
IY W,IY Y UW W,1
AA SH W,AA CH W,2
UW K AE R,UW S IH R,1
IY AE N OY L IY R,IY AH AO R IH R,1
R AE G L,R AA K L,3
R AE G L,R EH D L,1
R AE G L,R EH K L,1
R AE G L,R AY D Z L,1
 Y UW T, T,1
IY P IH NG,IY F IY,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
L T IY,L,1
AY AA D,AY AO R D,1
AY AA D,AY AH D,1
D AH T S,D ER,1
 AE L, EH L,1
 AE L, EY L,2
L AH S,L S,1
S AH Z,S IH Z,1
S AH Z,S IY,2
N OW T,N AA T,1
ER DH IY,ER K IH NG,1
NG R UW M M Y,NG W IH DH Y,1
Y UH R AH L Z,Y UW,1
 M IH D IY, IY,1
AY R AA,AY ER AA,3
IY Z,IY,3
 SH IY HH, Y UW HH,3
 Y UW Y, Y,1
Z R AH,Z W AH,1
M TH EY R,M DH EH R,1
R N,R D,1
R N,R AH N,1
T ER R,T AH L R,1
N L AH,N M AH,1
AH N CH,AH CH,1
CH R,CH F AO R,1
R UW M S,R S,1
S AH P,S ER P,1
P ER Z,P R AY Z,1
P ER Z,P T,1
Z M,Z D M,4
UW D AW ER AO,UW Z AA R AO,1
UW D AW ER AO,UW AA R AO,1
UW D AW ER AO,UW T UW AO,1
UW D AW ER AO,UW AO R AO,1
UW D AW ER AO,UW DH AE T AO,1
D AA R K,D AH K,1
T IH N G,T G,19
T IH N G,T AH G,1
T IH N G,T AH V G,1
T IH N G,T AH V G R IY S G,1
L AH G,L G,1
L AH V M,L EH F T M,1
N EH R,N Y IH R,1
JH F AO R AH M,JH HH ER M,1
L IH,L IY IH,2
K L IY,K W IY,2
N D SH,N SH,2
N AW DH,N OW DH,1
IY N IH,IY T IH,1
 V EY, F EY,1
F T,F DH AH T,1
R AH N IY,R IY,1
S N,S AH N D N,1
T DH AH P UW R,T,1
T DH AH P UW R,T B IH F AO R,1
S T K,S K,1
 DH AH S, S,3
P F R,P R,1
AE N T,AE K T,1
K AH L,K L,1
 B AE L, F IH L,1
L AA T AH,L AY F AH,1
UW B AY,UW F AY,1
AY EH N,AY N,1
AY EH N,AY AH N,1
N IY K,N D AH K,1
N IY K,N D K,1
K AO,K W AO,1
R D ER,R T ER,1
ER OY,ER R OY,1
 IH G, AY G,1
AH Z,AH IH Z,1
Z AH N D AE,Z AE,3
SH IY HH AE D,SH EH D,1
SH IY HH AE D,SH EH R D,1
IY T UW K,IY K,1
K AE R,K EH R,2
K AE R,K Y UH R,2
R IY AE N OY L IY R,R IH NG AO R DH AH R,1
IY IH NG AH,IY D AH,1
D AH D AH,D IH NG AH,1
 IH F DH, DH,1
M IH Z,M ER Z,1
TH S T,TH T,1
 B AA R B B, W AY B,1
N D P,N P,3
S AH S,S ER Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,1
ER R IH,ER IH,1
T AH N,T,1
T AH N,T IH N,1
T AH N,T AO N,1
 IH F P, P,2
R B B,R B,6
ER N D P,ER AH P,4
AH V P,AH P,1
T AH N D HH,T S DH AE T HH,1
HH IH M,HH IY R,2
N N,N D N,1
 HH, DH AH HH,1
P EH K,P AE K,5
S T D,S D,1
D EH K,D EY,1
D F AO R SH,D W IH DH SH,1
Z JH AA,Z CH AA,1
IH D Z,IH Z,1
D IH S K,D T UW,1
K T DH,K IH NG DH,3
K T DH,K S DH,2
K T DH,K DH,2
Z AH P B,Z AW T B,1
Z AH P B,Z DH AE T B,1
NG IH N P,NG P,2
P T,P AE T,1
L AH,L AH AH,1
L AH,L DH AH,1
L AH,L B AH,1
HH ER ER,HH ER,1
ER EY N,ER IH N,1
N JH F,N F,1
AA D AH,AA N T AH,1
P AH HH,P AA N HH,1
HH EH M,HH IH M,1
Z B IH,Z V IH,1
Z B IH,Z F IH,1
Z IY F,Z AH T F,1
L AH S AH Z,L Z IY Z,2
Z IH T S,Z DH AH S,1
S IH N,S AH N,1
S IH N,S EH N,1
N L,N D L,2
CH DH,CH T DH,1
M AH N,M DH EH N,1
M AH N,M ER,1
M AH N,M IH N,1
N D K,N K,1
 L, G L,3
 L, AH L,1
 L, S L,1
 L, F L,1
R IH S,R IY AH S,3
R IH S,R AH S,1
K G L,K L,2
B AH N D K,B K,1
D AE Z,D IH Z,1
N AH S T,N AY Z D,1
W AO R AH,W ER AH,1
V IH R,V Y AO R R,1
S W IH DH P,S F AO R P,1
AE V B,AE Z B,1
Z F R AH M K,Z K,1
W EH N R,W IH DH R,3
AH F IY,AH S IY,1
L IH P,L EH P,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
F OW N IY,F AO R T IY,1
N D T,N T,6
N Z,N,4
AE F AH,AE P AH,1
AE F AH,AE P AH T AH,1
S AE T,S EH T,6
AA N D AH N D,AA D,2
Z DH AE N B,Z T UW B,2
W EH N EH,W AH T EH,1
V AH,V W AH,1
V AH,V DH AH,2
AH HH,AH N HH,1
 P UH T, B AH T,2
M D AA,M DH AH AA,1
R AO AO,R AO,1
AO L F,AO F,1
 AH CH, CH,2
L Z,L,10
UW F IY D M,UW DH AH M,1
P IH Z,P AE Z,1
T S F,T F,1
AH S T S,AH S,1
ER Z SH,ER SH,4
G,G Z,1
AE D Y,AE Z Y,6
N IH Z,N HH AE Z,1
 HH AW G UH D IH, AE Z IH T IH,1
Z IH N AH,Z AH,2
AO L P,AO R P,1
Z F AO R M IY,Z,2
 D UW N, N,1
EH D AH N D,EH D,2
R IH N,R AE N,1
N D AE,N T AE,1
S M AY,S F AY,1
AY IH R,AY N D Y UH R,1
IH DH DH,IH DH,2
IY AE Z,IY Z,2
IY AE Z,IY IH Z,1
ER Z,ER,1
EY P Y,EY T Y,1
SH OW D,SH UH D,1
D P L,D L,1
L EH ZH ER,L AY K,1
 AH, DH AH,2
AH B AO R IH NG N,AH N,1
L IH Z,L Z,1
Z AH S,Z AA R S,1
S UH P,S UW P,1
ER B S,ER S,1
NG P IH L,NG,1
T D R,T T R,1
AH NG K HH,AH M P HH,1
DH IH S S,DH S,1
R EY N JH ER,R IH NG,1
 HH IH, DH IH,2
IH Z W,IH S W,1
V W AO,V AO,1
S IY W,S AH N D W,1
S IY W,S IH NG W,1
S IY W,S DH AH W,3
W UH M,W AO R M,1
 DH AH K, K,3
IY AE T DH AH SH,IY F AO R SH,1
SH AO R,SH UH R,1
SH AO R,SH AW ER,1
F AA F,F OW F,1
N AH M,N IY M,1
M AH K,M IH K,1
CH T DH,CH DH,4
EY G IY,EY K IY,3
IY S,IY TH,1
IY S,IY Z,3
IY S,IY Z S,3
B EH G,B IH G,2
G DH AE T G,G ER G,1
DH AE N,DH EH N,1
AH B OW,AH G OW,1
V L EH,V M EH,1
EH N T,EH T,1
AA P T,AA K T,1
T TH IH K B,T DH AH B,1
S W ER T,S F AO R T,1
M F AE,M B R AE,1
N,N CH,1
N,N T,1
W IH L,W EH L,1
OW L IH L,OW B EH L,1
UW TH F,UW F,1
F EH L,F IH L,1
 D UW, JH UW,1
 D UW, T UW,1
AY N B,AY B,1
B OW L,B AO L,1
T S AH M F UW,T HH UW,1
UW L W,UW W,1
 V Y, D UW Y,1
S IH N F AY V K,S AH M P AA K,1
AA N D AH N,AA N,2
D S K,D K,1
K EH CH,K AE CH,1
 B EH, EH,1
G DH AE T G AA R,G Z EH K AO R,1
D F,D ER F,1
DH IY Z SH,DH AH SH,2
Z DH AE,Z K AE,1
 HH ER R, R,2
 HH ER R, DH AH R,1
D EY,D M EY,1
R IY AE N OY,R OY,2
 D IY, JH IY,1
 B AA B P, P,2
K UH D DH,K AA Z DH,1
IH R D,IH G Y ER D,1
 AH B, B,2
EH M B L,EH L,1
M D,M AH N T D,1
AH M Z,AH B Z,1
OW IH F AO,OW AO,1
IY IH N B,IY AH B,1
D T UW F,D DH AH F,1
IH F W,IH P W,1
ER CH IY F S,ER T UW S,1
V M IH,V B IH,1
OW HH AE V HH ER,OW P EH P ER,1
R AH M IY,R B IY,1
ER AO L Y IH R,ER AA N,2
ER AO L Y IH R,ER,1
M IY V IH N M,M M,1
M AY TH IY,M IY,1
IY M,IY,1
R EY,R IY EY,1
EY Z IY F UW L HH AE,EY T IH V K AE,1
L AW D,L AY Z,1
 B EY K S, F IH G S,1
IY AA R N,IY M AY N,1
IY AA R N,IY N,1
S T UW S,S AH S,1
D IH N M AY AE M,D AH D M,1
IY,IY AH,1
R EH N D,R D,1
D ER AH N S,D AO R,1
IY N OW N IY D F AO R W,IY DH AH W,1
ER AH N D L,ER IH T L,1
IY AE N EH N T ER T,IY AH T,1
T EY N IH NG S,T IY M S,1
 F AE, DH AE,1
AA R K S UW T IH N G,AA G Z G,1
IY W AA SH W,IY L AO S T W,1
IY W AA SH W,IY V D W,1
N OY L,N D OW N L,2
N OY L,N AO L,5
N OY L,N T R IH L,1
N OY L,N OW L,2
N OY L,N L,1
N OY L,N ER L,1
R AE G L AY K DH AE T,R EH D,1
UW DH IH,UW HH IH,1
IH S AH,IH Z AH,1
D AH D AH T,D ER T UW T,1
R EY L,R AY L,1
 N EH, EH,1
 HH UW AO TH ER AY Z D DH, DH,1
DH AH AH,DH AH,1
AH N L,AH L,1
L IH M AH T,L AE S T,1
T AH D IH,T IH,1
S AH K AW N T,S IH V,1
 T UW F, F,2
 L AO, N AO,1
 L AO, M AO,1
IY EH L AH,IY AA N AH,1
AH G AH N T,AH S T,1
AY Y EH L AO R W,AY W,1
S IH L,S IY L,1
IY AY T AH M Z,IY AE K,1
 G EH S DH AH K W EH, Y EH,1
EH S CH AH N F R AH M DH AH AE N S,EH S,1
S ER,S,1
L IY R,L DH AH R,5
L IY R,L D R,2
L IY R,L IH R,1
AE G L,AE K L,3
IH T S AE,IH Z AE,1
AE P L AH K AH,AE F AH,1
T IY T,T EH T,1
Z D DH,Z DH,2
M N,M Z N,1
V Z T,V T,1
Y EH L,Y EY L,1
Y EH L,Y AE L,1
L AO R,L AA R,2
W ER IY,W EH R IY,1
IY OW V,IY AH V,1
V ER S,V AH S,1
D AA R K S,D AO G S,4
S UW T,S W IY T,1
S UW T,S IY T,1
P OW AH,P AE L AH,1
AH T S,AH S,1
S M AO R OW V ER D,S D,1
K DH EY G EY V W,K L AY K AH W,1
EY K UH D N,EY N,1
UW W IY K AE N D,UW D,1
L D S,L Z S,1
D IH G M AY P,D UW N AA T HH AE V P,1
Z AH P,Z DH AE T P,1
P B IH F AO R F,P IY P AH L F,1
F R AO S,F EY S,1
ER AH P B R IH NG IH NG IH N P,ER P,1
R IY AE,R AE,1
R IY AE,R AH T AE,1
AH TH IY M,AH S EY M,1
V,V D,1
W AA Z S,W IH DH S,1
UW DH D B AY,UW Z V AY,2
UW DH D B AY,UW AH S AY,1
AY DH,AY D DH,1
AH N T,AH T,1
AH N T,AH K T,1
P AA R,P AO R,1
EY N M,EY M,2
IY T S,IY Z,1
AH S,AH K S,1
AH S,AH N S,1
S AH Z AH,S AH,1
IH T Y EH T,IH T,1
 IH N SH, SH,1
T AH N D T,T AE T,1
T UW B,T DH AH B,1
R OW AE N,R AH N,1
N AA,N D AA,1
B AO,B ER AO,1
R IY AH L F,R F,1
N T AH,N AH M AH,2
N T AH,N AH,2
L OW P,L,2
L OW P,L AY Z,1
EY M IY N DH,EY DH,2
 DH AH F AA G P, P,1
D DH EH M,D HH IH M,1
D AE F,D EH F,1
F N,F AH N,1
N Z S,N AH T L IY S,1
N Z S,N IY S,6
D DH AH P,D D IH P,1
EH Z AH N T B,EH S IH V B,1
AY,AY V,1
AY,AY N,1
 M AO R HH IY K, Y UW K,1
K UH D T EY K,K AE N CH EH K,1
P L EH Z AH,P ER F AH,1
T AY,T L AY,1
AY D L IY AE,AY K AE,1
AE M B AH,AE N V AH,1
L D TH,L TH,1
CH N AY,CH S L AY,1
V SH AH B L IY,V M UW V,1
D IH Z,D EH Z,1
T S S,T S,1
N AE,N D AE,2
IH V Z D,IH F T S D,1
EY Z,EY,1
EY Z,EY ER Z,1
R IY S IY,R EY V IY,1
R IY S IY,R IH Z L IY,1
 Y UW S, S,1
 AA R Y, Y,1
EY D Z HH,EY S HH,1
V DH,V D W IH DH,2
DH AH K,DH K,2
AE D DH AH OY L,AE T AO L,1
 D AH, DH AH,1
AH Z S,AH S,2
M AE N,M EH N,1
N OW T AH,N D AH,1
V AA K,V AO L K,1
 IY T IH NG S, Y UW S,1
 AE T T, AH T,2
 B R IH NG M, M,1
AH F AY ER K R AE,AH DH AE,1
AE K ER Z,AE T,1
OW N W UH D P,OW P,1
L AY V,L IH V,1
V D AH,V Z AH,1
DH D F,DH Z F,1
